year	publisher	institute	cost
2010	Institute of Physics Publishing	University of Brighton	0
2011	Institute of Physics Publishing	University of Brighton	0
2012	Institute of Physics Publishing	University of Brighton	0
2013	Institute of Physics Publishing	University of Brighton	0
2014	Institute of Physics Publishing	University of Brighton	0
2010	Elsevier	University of Bristol	939882.14
2011	Elsevier	University of Bristol	958635.65
2012	Elsevier	University of Bristol	951915.03
2013	Elsevier	University of Bristol	977798.44
2014	Elsevier	University of Bristol	977325.38
2010	Wiley	University of Bristol	376915.38
2011	Wiley	University of Bristol	411217.67
2012	Wiley	University of Bristol	443816.07
2013	Wiley	University of Bristol	440666.44
2014	Wiley	University of Bristol	479020.72
2010	Springer	University of Bristol	248066.90
2011	Springer	University of Bristol	197116.87
2012	Springer	University of Bristol	270098.26
2013	Springer	University of Bristol	274897.32
2014	Springer	University of Bristol	249643.53
2010	Taylor & Francis	University of Bristol	179809.00
2011	Taylor & Francis	University of Bristol	190002.00
2012	Taylor & Francis	University of Bristol	204713.00
2013	Taylor & Francis	University of Bristol	202023.00
2014	Taylor & Francis	University of Bristol	233929.00
2010	Sage	University of Bristol	76316.00
2011	Sage	University of Bristol	114102.00
2012	Sage	University of Bristol	93255.00
2013	Sage	University of Bristol	95516.00
2014	Sage	University of Bristol	118471.00
2010	Oxford University Press	University of Bristol	28100.59
2011	Oxford University Press	University of Bristol	59330.79
2012	Oxford University Press	University of Bristol	63792.44
2013	Oxford University Press	University of Bristol	69378.85
2014	Oxford University Press	University of Bristol	75204.62
2010	Cambridge University Press	University of Bristol	33474.00
2011	Cambridge University Press	University of Bristol	28309.00
2012	Cambridge University Press	University of Bristol	44316.00
2013	Cambridge University Press	University of Bristol	35435.00
2014	Cambridge University Press	University of Bristol	47828.00
2010	Nature Publishing Group	University of Bristol	79483
2011	Nature Publishing Group	University of Bristol	82756
2012	Nature Publishing Group	University of Bristol	86834
2013	Nature Publishing Group	University of Bristol	105004
2014	Nature Publishing Group	University of Bristol	119243
2010	Royal Society of Chemistry	University of Bristol	28180
2011	Royal Society of Chemistry	University of Bristol	28221
2012	Royal Society of Chemistry	University of Bristol	31779
2013	Royal Society of Chemistry	University of Bristol	26811
2014	Royal Society of Chemistry	University of Bristol	27883
2010	Institute of Physics Publishing	University of Bristol	63340
2011	Institute of Physics Publishing	University of Bristol	64793
2012	Institute of Physics Publishing	University of Bristol	62749
2013	Institute of Physics Publishing	University of Bristol	62687
2014	Institute of Physics Publishing	University of Bristol	67106
2010	Elsevier	Brunel University	283316.16
2011	Elsevier	Brunel University	285056.17
2012	Elsevier	Brunel University	341807.02
2013	Elsevier	Brunel University	345225.18
2014	Elsevier	Brunel University	355581.90
2010	Wiley	Brunel University	146917.39
2011	Wiley	Brunel University	145760.74
2012	Wiley	Brunel University	141899.19
2013	Wiley	Brunel University	144493.58
2014	Wiley	Brunel University	118965.17
2010	Springer	Brunel University	51049.79
2011	Springer	Brunel University	21101.30
2012	Springer	Brunel University	48849.72
2013	Springer	Brunel University	46612.59
2014	Springer	Brunel University	42995.75
2010	Taylor & Francis	Brunel University	120669.24
2011	Taylor & Francis	Brunel University	133326.10
2012	Taylor & Francis	Brunel University	141975.04
2013	Taylor & Francis	Brunel University	146497.52
2014	Taylor & Francis	Brunel University	149896.99
2010	Sage	Brunel University	61408.53
2011	Sage	Brunel University	74695.81
2012	Sage	Brunel University	78135.71
2013	Sage	Brunel University	81104.82
2014	Sage	Brunel University	84151.66
2010	Oxford University Press	Brunel University	27069.11
2011	Oxford University Press	Brunel University	25872.57
2012	Oxford University Press	Brunel University	23158.27
2013	Oxford University Press	Brunel University	6061.86
2014	Oxford University Press	Brunel University	5098.08
2010	Cambridge University Press	Brunel University	12345.72
2011	Cambridge University Press	Brunel University	13706.73
2012	Cambridge University Press	Brunel University	14870.00
2013	Cambridge University Press	Brunel University	15843.84
2014	Cambridge University Press	Brunel University	16860.78
2010	Nature Publishing Group	Brunel University	41728
2011	Nature Publishing Group	Brunel University	50002
2012	Nature Publishing Group	Brunel University	73316
2013	Nature Publishing Group	Brunel University	56494
2014	Nature Publishing Group	Brunel University	59031
2010	Royal Society of Chemistry	Brunel University	2315
2011	Royal Society of Chemistry	Brunel University	2839
2012	Royal Society of Chemistry	Brunel University	3342
2013	Royal Society of Chemistry	Brunel University	1792
2014	Royal Society of Chemistry	Brunel University	1846
2010	Institute of Physics Publishing	Brunel University	6361
2011	Institute of Physics Publishing	Brunel University	7186
2012	Institute of Physics Publishing	Brunel University	7581
2013	Institute of Physics Publishing	Brunel University	10433
2014	Institute of Physics Publishing	Brunel University	11568
2010	Elsevier	Buckinghamshire New University	31270.00
2011	Elsevier	Buckinghamshire New University	33662.00
2012	Elsevier	Buckinghamshire New University	26214.00
2013	Elsevier	Buckinghamshire New University	27919.00
2014	Elsevier	Buckinghamshire New University	31038.00
2010	Wiley	Buckinghamshire New University	34002.00
2011	Wiley	Buckinghamshire New University	39469.00
2012	Wiley	Buckinghamshire New University	30305.00
2013	Wiley	Buckinghamshire New University	31748.00
2014	Wiley	Buckinghamshire New University	34750.00
2010	Springer	Buckinghamshire New University	3634.00
2011	Springer	Buckinghamshire New University	3206.00
2012	Springer	Buckinghamshire New University	1341.00
2013	Springer	Buckinghamshire New University	1306.00
2014	Springer	Buckinghamshire New University	1447.00
2010	Taylor & Francis	Buckinghamshire New University	
2011	Taylor & Francis	Buckinghamshire New University	
2012	Taylor & Francis	Buckinghamshire New University	
2013	Taylor & Francis	Buckinghamshire New University	
2014	Taylor & Francis	Buckinghamshire New University	
2010	Sage	Buckinghamshire New University	
2011	Sage	Buckinghamshire New University	
2012	Sage	Buckinghamshire New University	
2013	Sage	Buckinghamshire New University	
2014	Sage	Buckinghamshire New University	
2010	Oxford University Press	Buckinghamshire New University	4963.00
2011	Oxford University Press	Buckinghamshire New University	5735.00
2012	Oxford University Press	Buckinghamshire New University	5003.00
2013	Oxford University Press	Buckinghamshire New University	5351.00
2014	Oxford University Press	Buckinghamshire New University	6889.00
2010	Cambridge University Press	Buckinghamshire New University	
2011	Cambridge University Press	Buckinghamshire New University	
2012	Cambridge University Press	Buckinghamshire New University	
2013	Cambridge University Press	Buckinghamshire New University	
2014	Cambridge University Press	Buckinghamshire New University	
2010	Nature Publishing Group	Buckinghamshire New University	
2011	Nature Publishing Group	Buckinghamshire New University	
2012	Nature Publishing Group	Buckinghamshire New University	
2013	Nature Publishing Group	Buckinghamshire New University	
2014	Nature Publishing Group	Buckinghamshire New University	
2010	Royal Society of Chemistry	Buckinghamshire New University	
2011	Royal Society of Chemistry	Buckinghamshire New University	
2012	Royal Society of Chemistry	Buckinghamshire New University	
2013	Royal Society of Chemistry	Buckinghamshire New University	
2014	Royal Society of Chemistry	Buckinghamshire New University	
2010	Institute of Physics Publishing	Buckinghamshire New University	
2011	Institute of Physics Publishing	Buckinghamshire New University	
2012	Institute of Physics Publishing	Buckinghamshire New University	
2013	Institute of Physics Publishing	Buckinghamshire New University	
2014	Institute of Physics Publishing	Buckinghamshire New University	
2010	Elsevier	University of Cambridge	1277940.4
2011	Elsevier	University of Cambridge	1307795.7
2012	Elsevier	University of Cambridge	1339887.8
2013	Elsevier	University of Cambridge	1353286.6
2014	Elsevier	University of Cambridge	1393884.9
2010	Wiley	University of Cambridge	400721.00
2011	Wiley	University of Cambridge	414983.00
2012	Wiley	University of Cambridge	445763.00
2013	Wiley	University of Cambridge	458062.00
2014	Wiley	University of Cambridge	475470.00
2010	Springer	University of Cambridge	541412.54
2011	Springer	University of Cambridge	535210.00
2012	Springer	University of Cambridge	526818.18
2013	Springer	University of Cambridge	527831.65
2014	Springer	University of Cambridge	553913.26
2010	Taylor & Francis	University of Cambridge	93061.00
2011	Taylor & Francis	University of Cambridge	100175.00
2012	Taylor & Francis	University of Cambridge	114524.00
2013	Taylor & Francis	University of Cambridge	117406.00
2014	Taylor & Francis	University of Cambridge	125463.00
2010	Sage	University of Cambridge	52565.00
2011	Sage	University of Cambridge	56904.00
2012	Sage	University of Cambridge	68599.00
2013	Sage	University of Cambridge	68799.00
2014	Sage	University of Cambridge	69553.00
2010	Oxford University Press	University of Cambridge	25380.00
2011	Oxford University Press	University of Cambridge	25186.00
2012	Oxford University Press	University of Cambridge	28959.00
2013	Oxford University Press	University of Cambridge	40620.00
2014	Oxford University Press	University of Cambridge	47781.00
2010	Cambridge University Press	University of Cambridge	36217.00
2011	Cambridge University Press	University of Cambridge	37987.00
2012	Cambridge University Press	University of Cambridge	41987.00
2013	Cambridge University Press	University of Cambridge	43618.00
2014	Cambridge University Press	University of Cambridge	49927.00
2010	Nature Publishing Group	University of Cambridge	123517
2011	Nature Publishing Group	University of Cambridge	133936
2012	Nature Publishing Group	University of Cambridge	146303
2013	Nature Publishing Group	University of Cambridge	150689
2014	Nature Publishing Group	University of Cambridge	152302
2010	Royal Society of Chemistry	University of Cambridge	20844
2011	Royal Society of Chemistry	University of Cambridge	23399
2012	Royal Society of Chemistry	University of Cambridge	28369
2013	Royal Society of Chemistry	University of Cambridge	33600
2014	Royal Society of Chemistry	University of Cambridge	34608
2010	Institute of Physics Publishing	University of Cambridge	45426
2011	Institute of Physics Publishing	University of Cambridge	46069
2012	Institute of Physics Publishing	University of Cambridge	47077
2013	Institute of Physics Publishing	University of Cambridge	48940
2014	Institute of Physics Publishing	University of Cambridge	60919
2010	Elsevier	Canterbury Christ Church University	37548.65
2011	Elsevier	Canterbury Christ Church University	55133.56
2012	Elsevier	Canterbury Christ Church University	42171.55
2013	Elsevier	Canterbury Christ Church University	41198.84
2014	Elsevier	Canterbury Christ Church University	44964.66
2010	Wiley	Canterbury Christ Church University	61282.82
2011	Wiley	Canterbury Christ Church University	69400.78
2012	Wiley	Canterbury Christ Church University	132343.76
2013	Wiley	Canterbury Christ Church University	73030.58
2014	Wiley	Canterbury Christ Church University	74468.74
2010	Springer	Canterbury Christ Church University	8880.20
2011	Springer	Canterbury Christ Church University	8817.10
2012	Springer	Canterbury Christ Church University	10134.39
2013	Springer	Canterbury Christ Church University	12723.61
2014	Springer	Canterbury Christ Church University	14780.19
2010	Taylor & Francis	Canterbury Christ Church University	73791.20
2011	Taylor & Francis	Canterbury Christ Church University	88411.91
2012	Taylor & Francis	Canterbury Christ Church University	91694.69
2013	Taylor & Francis	Canterbury Christ Church University	97226.01
2014	Taylor & Francis	Canterbury Christ Church University	103170.30
2010	Sage	Canterbury Christ Church University	44691.99
2011	Sage	Canterbury Christ Church University	93178.85
2012	Sage	Canterbury Christ Church University	49456.47
2013	Sage	Canterbury Christ Church University	51446.73
2014	Sage	Canterbury Christ Church University	51746.04
2010	Oxford University Press	Canterbury Christ Church University	8684.77
2011	Oxford University Press	Canterbury Christ Church University	9801.12
2012	Oxford University Press	Canterbury Christ Church University	10449.64
2013	Oxford University Press	Canterbury Christ Church University	10830.91
2014	Oxford University Press	Canterbury Christ Church University	11374.78
2010	Cambridge University Press	Canterbury Christ Church University	3151.70
2011	Cambridge University Press	Canterbury Christ Church University	3532.20
2012	Cambridge University Press	Canterbury Christ Church University	3885.86
2013	Cambridge University Press	Canterbury Christ Church University	4180.37
2014	Cambridge University Press	Canterbury Christ Church University	4686.59
2010	Nature Publishing Group	Canterbury Christ Church University	1590
2011	Nature Publishing Group	Canterbury Christ Church University	1685
2012	Nature Publishing Group	Canterbury Christ Church University	1836
2013	Nature Publishing Group	Canterbury Christ Church University	1894
2014	Nature Publishing Group	Canterbury Christ Church University	2027
2010	Royal Society of Chemistry	Canterbury Christ Church University	0
2011	Royal Society of Chemistry	Canterbury Christ Church University	0
2012	Royal Society of Chemistry	Canterbury Christ Church University	0
2013	Royal Society of Chemistry	Canterbury Christ Church University	0
2014	Royal Society of Chemistry	Canterbury Christ Church University	0
2010	Institute of Physics Publishing	Canterbury Christ Church University	288
2011	Institute of Physics Publishing	Canterbury Christ Church University	299
2012	Institute of Physics Publishing	Canterbury Christ Church University	318
2013	Institute of Physics Publishing	Canterbury Christ Church University	330
2014	Institute of Physics Publishing	Canterbury Christ Church University	345
2010	Elsevier	Cardiff University	805524.76
2011	Elsevier	Cardiff University	784659.37
2012	Elsevier	Cardiff University	791269.21
2013	Elsevier	Cardiff University	803708.85
2014	Elsevier	Cardiff University	831307.32
2010	Wiley	Cardiff University	450928.00
2011	Wiley	Cardiff University	453683.00
2012	Wiley	Cardiff University	442887.00
2013	Wiley	Cardiff University	455239.00
2014	Wiley	Cardiff University	458337.00
2010	Springer	Cardiff University	138829.00
2011	Springer	Cardiff University	92134.00
2012	Springer	Cardiff University	91894.00
2013	Springer	Cardiff University	90629.00
2014	Springer	Cardiff University	102926.00
2010	Taylor & Francis	Cardiff University	147821.00
2011	Taylor & Francis	Cardiff University	163545.00
2012	Taylor & Francis	Cardiff University	159410.00
2013	Taylor & Francis	Cardiff University	168603.00
2014	Taylor & Francis	Cardiff University	184444.00
2010	Sage	Cardiff University	82393.00
2011	Sage	Cardiff University	108827.00
2012	Sage	Cardiff University	118235.00
2013	Sage	Cardiff University	129331.00
2014	Sage	Cardiff University	143449.00
2010	Oxford University Press	Cardiff University	50954.00
2011	Oxford University Press	Cardiff University	51627.00
2012	Oxford University Press	Cardiff University	57060.00
2013	Oxford University Press	Cardiff University	66346.00
2014	Oxford University Press	Cardiff University	72072.00
2010	Cambridge University Press	Cardiff University	27193.98
2011	Cambridge University Press	Cardiff University	29210.18
2012	Cambridge University Press	Cardiff University	30899.52
2013	Cambridge University Press	Cardiff University	34558.36
2014	Cambridge University Press	Cardiff University	35564.40
2010	Nature Publishing Group	Cardiff University	97699
2011	Nature Publishing Group	Cardiff University	129774
2012	Nature Publishing Group	Cardiff University	117269
2013	Nature Publishing Group	Cardiff University	129219
2014	Nature Publishing Group	Cardiff University	135584
2010	Royal Society of Chemistry	Cardiff University	15864
2011	Royal Society of Chemistry	Cardiff University	16080
2012	Royal Society of Chemistry	Cardiff University	19128
2013	Royal Society of Chemistry	Cardiff University	22225
2014	Royal Society of Chemistry	Cardiff University	22891
2010	Institute of Physics Publishing	Cardiff University	10534
2011	Institute of Physics Publishing	Cardiff University	10904
2012	Institute of Physics Publishing	Cardiff University	11141
2013	Institute of Physics Publishing	Cardiff University	11518
2014	Institute of Physics Publishing	Cardiff University	21402
2010	Elsevier	Cardiff Metropolitan University	68964.79
2011	Elsevier	Cardiff Metropolitan University	53214.64
2012	Elsevier	Cardiff Metropolitan University	64216.84
2013	Elsevier	Cardiff Metropolitan University	79103.37
2014	Elsevier	Cardiff Metropolitan University	85564.61
2010	Wiley	Cardiff Metropolitan University	36428.65
2011	Wiley	Cardiff Metropolitan University	36907.47
2012	Wiley	Cardiff Metropolitan University	41193.85
2013	Wiley	Cardiff Metropolitan University	40924.28
2014	Wiley	Cardiff Metropolitan University	35329.62
2010	Springer	Cardiff Metropolitan University	14558.88
2011	Springer	Cardiff Metropolitan University	16164.51
2012	Springer	Cardiff Metropolitan University	15589.29
2013	Springer	Cardiff Metropolitan University	14662.00
2014	Springer	Cardiff Metropolitan University	14820.90
2010	Taylor & Francis	Cardiff Metropolitan University	70336.86
2011	Taylor & Francis	Cardiff Metropolitan University	75617.30
2012	Taylor & Francis	Cardiff Metropolitan University	78314.15
2013	Taylor & Francis	Cardiff Metropolitan University	84019.84
2014	Taylor & Francis	Cardiff Metropolitan University	79224.43
2010	Sage	Cardiff Metropolitan University	24301.26
2011	Sage	Cardiff Metropolitan University	25070.44
2012	Sage	Cardiff Metropolitan University	3335.16
2013	Sage	Cardiff Metropolitan University	29763.72
2014	Sage	Cardiff Metropolitan University	33391.32
2010	Oxford University Press	Cardiff Metropolitan University	4233.37
2011	Oxford University Press	Cardiff Metropolitan University	6637.44
2012	Oxford University Press	Cardiff Metropolitan University	5926.77
2013	Oxford University Press	Cardiff Metropolitan University	6608.33
2014	Oxford University Press	Cardiff Metropolitan University	6445.96
2010	Cambridge University Press	Cardiff Metropolitan University	6363.36
2011	Cambridge University Press	Cardiff Metropolitan University	6693.98
2012	Cambridge University Press	Cardiff Metropolitan University	7143.29
2013	Cambridge University Press	Cardiff Metropolitan University	7796.84
2014	Cambridge University Press	Cardiff Metropolitan University	10162.68
2010	Nature Publishing Group	Cardiff Metropolitan University	
2011	Nature Publishing Group	Cardiff Metropolitan University	14325
2012	Nature Publishing Group	Cardiff Metropolitan University	20434
2013	Nature Publishing Group	Cardiff Metropolitan University	21487
2014	Nature Publishing Group	Cardiff Metropolitan University	27077
2010	Royal Society of Chemistry	Cardiff Metropolitan University	0
2011	Royal Society of Chemistry	Cardiff Metropolitan University	0
2012	Royal Society of Chemistry	Cardiff Metropolitan University	0
2013	Royal Society of Chemistry	Cardiff Metropolitan University	0
2014	Royal Society of Chemistry	Cardiff Metropolitan University	0
2010	Institute of Physics Publishing	Cardiff Metropolitan University	0
2011	Institute of Physics Publishing	Cardiff Metropolitan University	0
2012	Institute of Physics Publishing	Cardiff Metropolitan University	0
2013	Institute of Physics Publishing	Cardiff Metropolitan University	0
2014	Institute of Physics Publishing	Cardiff Metropolitan University	0
2010	Elsevier	University of Central Lancashire	251584.65
2011	Elsevier	University of Central Lancashire	170180.67
2012	Elsevier	University of Central Lancashire	181201.59
2013	Elsevier	University of Central Lancashire	166960.56
2014	Elsevier	University of Central Lancashire	173432.46
2010	Wiley	University of Central Lancashire	94462.48
2011	Wiley	University of Central Lancashire	109555.95
2012	Wiley	University of Central Lancashire	101799.98
2013	Wiley	University of Central Lancashire	111472.64
2014	Wiley	University of Central Lancashire	118005.18
2010	Springer	University of Central Lancashire	2434.84
2011	Springer	University of Central Lancashire	22298.82
2012	Springer	University of Central Lancashire	2972.30
2013	Springer	University of Central Lancashire	18582.41
2014	Springer	University of Central Lancashire	19274.78
2010	Taylor & Francis	University of Central Lancashire	59955.85
2011	Taylor & Francis	University of Central Lancashire	60822.05
2012	Taylor & Francis	University of Central Lancashire	65803.90
2013	Taylor & Francis	University of Central Lancashire	69970.83
2014	Taylor & Francis	University of Central Lancashire	76096.51
2010	Sage	University of Central Lancashire	48818.15
2011	Sage	University of Central Lancashire	50408.42
2012	Sage	University of Central Lancashire	55278.58
2013	Sage	University of Central Lancashire	59710.87
2014	Sage	University of Central Lancashire	63679.13
2010	Oxford University Press	University of Central Lancashire	17002.69
2011	Oxford University Press	University of Central Lancashire	18310.33
2012	Oxford University Press	University of Central Lancashire	19950.32
2013	Oxford University Press	University of Central Lancashire	22213.82
2014	Oxford University Press	University of Central Lancashire	23364.72
2010	Cambridge University Press	University of Central Lancashire	8505.07
2011	Cambridge University Press	University of Central Lancashire	8614.63
2012	Cambridge University Press	University of Central Lancashire	9469.32
2013	Cambridge University Press	University of Central Lancashire	10327.16
2014	Cambridge University Press	University of Central Lancashire	10838.17
2010	Nature Publishing Group	University of Central Lancashire	6520
2011	Nature Publishing Group	University of Central Lancashire	18418
2012	Nature Publishing Group	University of Central Lancashire	17326
2013	Nature Publishing Group	University of Central Lancashire	16016
2014	Nature Publishing Group	University of Central Lancashire	19574
2010	Royal Society of Chemistry	University of Central Lancashire	1290
2011	Royal Society of Chemistry	University of Central Lancashire	1584
2012	Royal Society of Chemistry	University of Central Lancashire	3427
2013	Royal Society of Chemistry	University of Central Lancashire	3530
2014	Royal Society of Chemistry	University of Central Lancashire	3635
2010	Institute of Physics Publishing	University of Central Lancashire	11010
2011	Institute of Physics Publishing	University of Central Lancashire	11353
2012	Institute of Physics Publishing	University of Central Lancashire	11781
2013	Institute of Physics Publishing	University of Central Lancashire	12494
2014	Institute of Physics Publishing	University of Central Lancashire	12238
2010	Elsevier	Central School of Speech and Drama	724.00
2011	Elsevier	Central School of Speech and Drama	743.00
2012	Elsevier	Central School of Speech and Drama	0.00
2013	Elsevier	Central School of Speech and Drama	1406.00
2014	Elsevier	Central School of Speech and Drama	922.00
2010	Wiley	Central School of Speech and Drama	
2011	Wiley	Central School of Speech and Drama	
2012	Wiley	Central School of Speech and Drama	
2013	Wiley	Central School of Speech and Drama	
2014	Wiley	Central School of Speech and Drama	
2010	Springer	Central School of Speech and Drama	
2011	Springer	Central School of Speech and Drama	
2012	Springer	Central School of Speech and Drama	
2013	Springer	Central School of Speech and Drama	
2014	Springer	Central School of Speech and Drama	
2010	Taylor & Francis	Central School of Speech and Drama	0.00
2011	Taylor & Francis	Central School of Speech and Drama	0.00
2012	Taylor & Francis	Central School of Speech and Drama	0.00
2013	Taylor & Francis	Central School of Speech and Drama	0.00
2014	Taylor & Francis	Central School of Speech and Drama	0.00
2010	Sage	Central School of Speech and Drama	18.39
2011	Sage	Central School of Speech and Drama	0.00
2012	Sage	Central School of Speech and Drama	0.00
2013	Sage	Central School of Speech and Drama	0.00
2014	Sage	Central School of Speech and Drama	0.00
2010	Oxford University Press	Central School of Speech and Drama	
2011	Oxford University Press	Central School of Speech and Drama	
2012	Oxford University Press	Central School of Speech and Drama	
2013	Oxford University Press	Central School of Speech and Drama	
2014	Oxford University Press	Central School of Speech and Drama	
2010	Cambridge University Press	Central School of Speech and Drama	0.00
2011	Cambridge University Press	Central School of Speech and Drama	0.00
2012	Cambridge University Press	Central School of Speech and Drama	0.00
2013	Cambridge University Press	Central School of Speech and Drama	0.00
2014	Cambridge University Press	Central School of Speech and Drama	0.00
2010	Nature Publishing Group	Central School of Speech and Drama	
2011	Nature Publishing Group	Central School of Speech and Drama	
2012	Nature Publishing Group	Central School of Speech and Drama	
2013	Nature Publishing Group	Central School of Speech and Drama	
2014	Nature Publishing Group	Central School of Speech and Drama	
2010	Royal Society of Chemistry	Central School of Speech and Drama	
2011	Royal Society of Chemistry	Central School of Speech and Drama	
2012	Royal Society of Chemistry	Central School of Speech and Drama	
2013	Royal Society of Chemistry	Central School of Speech and Drama	
2014	Royal Society of Chemistry	Central School of Speech and Drama	
2010	Institute of Physics Publishing	Central School of Speech and Drama	
2011	Institute of Physics Publishing	Central School of Speech and Drama	
2012	Institute of Physics Publishing	Central School of Speech and Drama	
2013	Institute of Physics Publishing	Central School of Speech and Drama	
2014	Institute of Physics Publishing	Central School of Speech and Drama	
2010	Elsevier	University of Chester	44904.00
2011	Elsevier	University of Chester	45204.00
2012	Elsevier	University of Chester	46911.00
2013	Elsevier	University of Chester	47280.00
2014	Elsevier	University of Chester	51582.00
2010	Wiley	University of Chester	0.00
2011	Wiley	University of Chester	0.00
2012	Wiley	University of Chester	0.00
2013	Wiley	University of Chester	0.00
2014	Wiley	University of Chester	0.00
2010	Springer	University of Chester	0.00
2011	Springer	University of Chester	0.00
2012	Springer	University of Chester	0.00
2013	Springer	University of Chester	0.00
2014	Springer	University of Chester	0.00
2010	Taylor & Francis	University of Chester	0.00
2011	Taylor & Francis	University of Chester	0.00
2012	Taylor & Francis	University of Chester	0.00
2013	Taylor & Francis	University of Chester	0.00
2014	Taylor & Francis	University of Chester	0.00
2010	Sage	University of Chester	0.00
2011	Sage	University of Chester	0.00
2012	Sage	University of Chester	0.00
2013	Sage	University of Chester	0.00
2014	Sage	University of Chester	0.00
2010	Oxford University Press	University of Chester	
2011	Oxford University Press	University of Chester	
2012	Oxford University Press	University of Chester	
2013	Oxford University Press	University of Chester	
2014	Oxford University Press	University of Chester	
2010	Cambridge University Press	University of Chester	0.00
2011	Cambridge University Press	University of Chester	0.00
2012	Cambridge University Press	University of Chester	0.00
2013	Cambridge University Press	University of Chester	0.00
2014	Cambridge University Press	University of Chester	0.00
2010	Nature Publishing Group	University of Chester	
2011	Nature Publishing Group	University of Chester	
2012	Nature Publishing Group	University of Chester	
2013	Nature Publishing Group	University of Chester	
2014	Nature Publishing Group	University of Chester	
2010	Royal Society of Chemistry	University of Chester	
2011	Royal Society of Chemistry	University of Chester	
2012	Royal Society of Chemistry	University of Chester	
2013	Royal Society of Chemistry	University of Chester	
2014	Royal Society of Chemistry	University of Chester	
2010	Institute of Physics Publishing	University of Chester	
2011	Institute of Physics Publishing	University of Chester	
2012	Institute of Physics Publishing	University of Chester	
2013	Institute of Physics Publishing	University of Chester	
2014	Institute of Physics Publishing	University of Chester	
2010	Elsevier	University of Chichester	2450.64
2011	Elsevier	University of Chichester	9183.68
2012	Elsevier	University of Chichester	16110.93
2013	Elsevier	University of Chichester	8815.76
2014	Elsevier	University of Chichester	9470.93
2010	Wiley	University of Chichester	3528.83
2011	Wiley	University of Chichester	3509.32
2012	Wiley	University of Chichester	3789.90
2013	Wiley	University of Chichester	4020.50
2014	Wiley	University of Chichester	4237.20
2010	Springer	University of Chichester	1036.00
2011	Springer	University of Chichester	1066.24
2012	Springer	University of Chichester	1077.18
2013	Springer	University of Chichester	1063.16
2014	Springer	University of Chichester	256.87
2010	Taylor & Francis	University of Chichester	18665.68
2011	Taylor & Francis	University of Chichester	20602.13
2012	Taylor & Francis	University of Chichester	22914.13
2013	Taylor & Francis	University of Chichester	24418.04
2014	Taylor & Francis	University of Chichester	27737.48
2010	Sage	University of Chichester	8730.10
2011	Sage	University of Chichester	9452.44
2012	Sage	University of Chichester	10098.97
2013	Sage	University of Chichester	10655.96
2014	Sage	University of Chichester	11570.73
2010	Oxford University Press	University of Chichester	2643.19
2011	Oxford University Press	University of Chichester	1830.84
2012	Oxford University Press	University of Chichester	2124.40
2013	Oxford University Press	University of Chichester	1644.61
2014	Oxford University Press	University of Chichester	1924.92
2010	Cambridge University Press	University of Chichester	1442.86
2011	Cambridge University Press	University of Chichester	1559.59
2012	Cambridge University Press	University of Chichester	1752.80
2013	Cambridge University Press	University of Chichester	2041.87
2014	Cambridge University Press	University of Chichester	2259.81
2010	Nature Publishing Group	University of Chichester	0
2011	Nature Publishing Group	University of Chichester	0
2012	Nature Publishing Group	University of Chichester	0
2013	Nature Publishing Group	University of Chichester	0
2014	Nature Publishing Group	University of Chichester	0
2010	Royal Society of Chemistry	University of Chichester	0
2011	Royal Society of Chemistry	University of Chichester	0
2012	Royal Society of Chemistry	University of Chichester	0
2013	Royal Society of Chemistry	University of Chichester	0
2014	Royal Society of Chemistry	University of Chichester	0
2010	Institute of Physics Publishing	University of Chichester	0
2011	Institute of Physics Publishing	University of Chichester	0
2012	Institute of Physics Publishing	University of Chichester	0
2013	Institute of Physics Publishing	University of Chichester	0
2014	Institute of Physics Publishing	University of Chichester	0
2010	Elsevier	City University London	164975.54
2011	Elsevier	City University London	160607.85
2012	Elsevier	City University London	176402.72
2013	Elsevier	City University London	192053.24
2014	Elsevier	City University London	197814.75
2010	Wiley	City University London	65378.00
2011	Wiley	City University London	69726.00
2012	Wiley	City University London	71981.00
2013	Wiley	City University London	100321.00
2014	Wiley	City University London	104253.00
2010	Springer	City University London	27462.00
2011	Springer	City University London	26056.00
2012	Springer	City University London	28758.00
2013	Springer	City University London	31330.00
2014	Springer	City University London	30144.00
2010	Taylor & Francis	City University London	71165.00
2011	Taylor & Francis	City University London	79857.00
2012	Taylor & Francis	City University London	91375.00
2013	Taylor & Francis	City University London	108871.00
2014	Taylor & Francis	City University London	112182.00
2010	Sage	City University London	67631.00
2011	Sage	City University London	71762.00
2012	Sage	City University London	74316.00
2013	Sage	City University London	76141.00
2014	Sage	City University London	78457.00
2010	Oxford University Press	City University London	11308.00
2011	Oxford University Press	City University London	16605.00
2012	Oxford University Press	City University London	13307.00
2013	Oxford University Press	City University London	22071.00
2014	Oxford University Press	City University London	26693.00
2010	Cambridge University Press	City University London	12456.00
2011	Cambridge University Press	City University London	15969.00
2012	Cambridge University Press	City University London	19991.00
2013	Cambridge University Press	City University London	21085.00
2014	Cambridge University Press	City University London	22637.00
2010	Nature Publishing Group	City University London	829
2011	Nature Publishing Group	City University London	871
2012	Nature Publishing Group	City University London	905
2013	Nature Publishing Group	City University London	12331
2014	Nature Publishing Group	City University London	12952
2010	Royal Society of Chemistry	City University London	0
2011	Royal Society of Chemistry	City University London	0
2012	Royal Society of Chemistry	City University London	0
