year	publisher	institute	cost
2013	Royal Society of Chemistry	University of Aberdeen	21082
2014	Royal Society of Chemistry	University of Aberdeen	21857
2010	Institute of Physics Publishing	University of Aberdeen	18956
2011	Institute of Physics Publishing	University of Aberdeen	20095
2012	Institute of Physics Publishing	University of Aberdeen	20745
2013	Institute of Physics Publishing	University of Aberdeen	21219
2014	Institute of Physics Publishing	University of Aberdeen	21800
2010	Elsevier	Abertay University	0.00
2011	Elsevier	Abertay University	0.00
2012	Elsevier	Abertay University	47069.46
2013	Elsevier	Abertay University	33071.96
2014	Elsevier	Abertay University	33402.66
2010	Wiley	Abertay University	0.00
2011	Wiley	Abertay University	0.00
2012	Wiley	Abertay University	0.00
2013	Wiley	Abertay University	0.00
2014	Wiley	Abertay University	0.00
2010	Springer	Abertay University	0.00
2011	Springer	Abertay University	0.00
2012	Springer	Abertay University	0.00
2013	Springer	Abertay University	0.00
2014	Springer	Abertay University	0.00
2010	Taylor & Francis	Abertay University	361.00
2011	Taylor & Francis	Abertay University	0.00
2012	Taylor & Francis	Abertay University	0.00
2013	Taylor & Francis	Abertay University	0.00
2014	Taylor & Francis	Abertay University	0.00
2010	Sage	Abertay University	0.00
2011	Sage	Abertay University	0.00
2012	Sage	Abertay University	0.00
2013	Sage	Abertay University	44620.05
2014	Sage	Abertay University	0.00
2010	Oxford University Press	Abertay University	0.00
2011	Oxford University Press	Abertay University	0.00
2012	Oxford University Press	Abertay University	0.00
2013	Oxford University Press	Abertay University	0.00
2014	Oxford University Press	Abertay University	0.00
2010	Cambridge University Press	Abertay University	0.00
2011	Cambridge University Press	Abertay University	0.00
2012	Cambridge University Press	Abertay University	0.00
2013	Cambridge University Press	Abertay University	0.00
2014	Cambridge University Press	Abertay University	0.00
2010	Nature Publishing Group	Abertay University	0
2011	Nature Publishing Group	Abertay University	580
2012	Nature Publishing Group	Abertay University	0
2013	Nature Publishing Group	Abertay University	0
2014	Nature Publishing Group	Abertay University	0
2010	Royal Society of Chemistry	Abertay University	0
2011	Royal Society of Chemistry	Abertay University	0
2012	Royal Society of Chemistry	Abertay University	0
2013	Royal Society of Chemistry	Abertay University	0
2014	Royal Society of Chemistry	Abertay University	0
2010	Institute of Physics Publishing	Abertay University	0
2011	Institute of Physics Publishing	Abertay University	0
2012	Institute of Physics Publishing	Abertay University	0
2013	Institute of Physics Publishing	Abertay University	0
2014	Institute of Physics Publishing	Abertay University	0
2010	Elsevier	Aberystwyth University	247614.97
2011	Elsevier	Aberystwyth University	253216.21
2012	Elsevier	Aberystwyth University	262767.01
2013	Elsevier	Aberystwyth University	265394.66
2014	Elsevier	Aberystwyth University	273362.55
2010	Wiley	Aberystwyth University	152430.84
2011	Wiley	Aberystwyth University	159624.45
2012	Wiley	Aberystwyth University	174331.04
2013	Wiley	Aberystwyth University	170285.48
2014	Wiley	Aberystwyth University	176189.87
2010	Springer	Aberystwyth University	80321.03
2011	Springer	Aberystwyth University	65562.32
2012	Springer	Aberystwyth University	90862.64
2013	Springer	Aberystwyth University	79432.70
2014	Springer	Aberystwyth University	88922.26
2010	Taylor & Francis	Aberystwyth University	82522.55
2011	Taylor & Francis	Aberystwyth University	93079.15
2012	Taylor & Francis	Aberystwyth University	87219.48
2013	Taylor & Francis	Aberystwyth University	92189.83
2014	Taylor & Francis	Aberystwyth University	99579.16
2010	Sage	Aberystwyth University	31338.93
2011	Sage	Aberystwyth University	34020.77
2012	Sage	Aberystwyth University	34887.61
2013	Sage	Aberystwyth University	37143.69
2014	Sage	Aberystwyth University	39727.03
2010	Oxford University Press	Aberystwyth University	26469.57
2011	Oxford University Press	Aberystwyth University	20524.62
2012	Oxford University Press	Aberystwyth University	22054.01
2013	Oxford University Press	Aberystwyth University	22613.74
2014	Oxford University Press	Aberystwyth University	24236.75
2010	Cambridge University Press	Aberystwyth University	24329.12
2011	Cambridge University Press	Aberystwyth University	26216.29
2012	Cambridge University Press	Aberystwyth University	29158.80
2013	Cambridge University Press	Aberystwyth University	30463.80
2014	Cambridge University Press	Aberystwyth University	31350.47
2010	Nature Publishing Group	Aberystwyth University	4893
2011	Nature Publishing Group	Aberystwyth University	24588
2012	Nature Publishing Group	Aberystwyth University	28417
2013	Nature Publishing Group	Aberystwyth University	30653
2014	Nature Publishing Group	Aberystwyth University	32100
2010	Royal Society of Chemistry	Aberystwyth University	2430
2011	Royal Society of Chemistry	Aberystwyth University	2304
2012	Royal Society of Chemistry	Aberystwyth University	2849
2013	Royal Society of Chemistry	Aberystwyth University	2934
2014	Royal Society of Chemistry	Aberystwyth University	3022
2010	Institute of Physics Publishing	Aberystwyth University	2277
2011	Institute of Physics Publishing	Aberystwyth University	2385
2012	Institute of Physics Publishing	Aberystwyth University	24960
2013	Institute of Physics Publishing	Aberystwyth University	2662
2014	Institute of Physics Publishing	Aberystwyth University	2700
2010	Elsevier	Anglia Ruskin University	92060.00
2011	Elsevier	Anglia Ruskin University	78961.00
2012	Elsevier	Anglia Ruskin University	83436.00
2013	Elsevier	Anglia Ruskin University	84408.00
